これなんて読む？塵芥,ちりあくた,じんさ,かかい,ちりかい
これなんて読む？弥終,いやはて,やしゅう,やしまい,しょうつい
√2の値は？,1.41421356,1.21406790,1.73205082,2.44949
これなんて意味？ enigmatic,謎めいた,暴力的な,煽情的な,勇敢な
紙の原料は？,木材,砂,灰,キノコ
マリオの帽子は何色？,赤,青,緑,紫
マリモは何色？,緑,赤,青,紫
永遠の二番手といえば？,ルイージ,ピッコロ,ムスカ,トレーボル
SMTWTFST　なにこれ？,曜日,月,年号,ゲームの略称
人形偏愛症の別称は？,アガルマトフィリア,ピグマリオコンプレックス,DL,alice
なんて読むの？　西表島,いりおもてじま,にしおもてじま,いりひょうとう,せいおもてしま
G↑＝T　K↑＝I　なら　C→＝？,V,D,B,A
〇〇カブリ　〇に入るものは？,まいまい,みいみい,みゅうみゅう,ホイホイ
charに値入れたい！何で囲う？(java),シングルクォーテーション,ダブルクォーテーション,バッククォーテーション,アスタリスク
須臾って何？,少しの間,流れるさま,かなりの間,止まってるさま
いえあ！！綴りは？,YEAH!,YEAR!,YAHN!,YUMMY!
この中で四皇はだれ？(ワンピース),バギー,クザン,シュガー,クロコダイル
憶から心が無くなるとどうなる？,おと,おもい,うしなう,くち
2022って令和で言うと？,4,2,1,5
これなんて読む？凋叶棕,てぃあおいえつぉん,しゅうとしゅう,そばと,じゅうきそう
これなんて意味？　μετέωρο,流星,ポリエステル,トイレ,高温
正しい単語と意味のペアは？,預言者：神と人とを仲介する者,予言者：神と人とを仲介する者,予言者：相手の言う言葉を予測する者,預言者：聞き手のこと
飛行機の東は撮影禁止。　撮影禁止の東は施錠。 回転の西は？,カラオケ禁止,日光浴禁止,音だし禁止,外食禁止
